roll_no,dob,company,sector,package_lpa,status,offer_date
AKTU002-EE-2021-1003,2004-01-18,ICICI,Finance,4.5,OFFERED,2024-09-10
AKTU001-EE-2021-1006,2004-06-16,TCS,IT,3.5,PENDING,2024-09-20
AKTU002-EE-2021-1008,2003-12-04,Siemens,Core,3.5,PENDING,2024-11-26
AKTU001-EE-2021-1010,2004-02-03,HDFC Bank,Finance,3.5,JOINED,2024-10-03
AKTU002-Management-2023-1015,2003-01-28,Wipro,IT,4.0,OFFERED,2024-12-02
AKTU003-CSE-2021-1016,2002-04-06,Wipro,IT,6.5,OFFERED,2024-11-06
AKTU001-Management-2023-1017,2002-08-31,NTPC,Core,3.5,OFFERED,2024-12-06
AKTU002-EE-2021-1023,2003-11-15,NTPC,Core,6.5,PENDING,2024-11-21
AKTU003-Management-2023-1026,2002-05-28,Siemens,Core,3.5,OFFERED,2024-11-13
AKTU002-CSE-2021-1028,2002-01-02,ICICI,Finance,5.0,JOINED,2024-11-01
AKTU003-CSE-2021-1029,2002-04-09,HDFC Bank,Finance,4.0,PENDING,2024-09-17
AKTU001-CSE-2021-1032,2003-08-03,TCS,IT,3.5,OFFERED,2024-11-19
AKTU003-CSE-2021-1033,2003-11-19,Infosys,IT,3.5,OFFERED,2024-11-16
AKTU001-CSE-2021-1036,2003-05-12,HDFC Bank,Finance,4.5,OFFERED,2024-11-23
AKTU002-CSE-2021-1039,2003-01-28,Infosys,IT,4.0,OFFERED,2024-09-04
AKTU002-CSE-2021-1040,2004-04-07,ICICI,Finance,4.0,JOINED,2024-10-20
AKTU001-EE-2021-1046,2004-04-09,Wipro,IT,4.5,JOINED,2024-11-21
AKTU001-Management-2023-1048,2003-08-04,ICICI,Finance,6.5,JOINED,2024-10-03
AKTU001-EE-2021-1049,2002-10-12,Siemens,Core,4.5,JOINED,2024-11-07
AKTU001-CSE-2021-1052,2003-05-31,TCS,IT,8.0,PENDING,2024-12-03
AKTU001-CSE-2021-1057,2004-01-31,HDFC Bank,Finance,3.5,PENDING,2024-11-27
AKTU003-EE-2021-1058,2004-09-25,HDFC Bank,Finance,3.5,OFFERED,2024-11-16
AKTU002-Management-2023-1061,2003-05-21,NTPC,Core,6.5,JOINED,2024-10-08
AKTU003-CSE-2021-1062,2002-05-31,TCS,IT,4.5,PENDING,2024-10-05
AKTU002-EE-2021-1068,2004-06-13,Siemens,Core,3.5,OFFERED,2024-09-15
AKTU002-Management-2023-1081,2002-06-03,Wipro,IT,5.0,OFFERED,2024-12-22
AKTU002-EE-2021-1089,2003-06-18,Siemens,Core,4.5,OFFERED,2024-09-19
AKTU003-CSE-2021-1095,2002-08-19,HDFC Bank,Finance,5.0,OFFERED,2024-11-10
AKTU003-Management-2023-1111,2002-07-17,HDFC Bank,Finance,5.0,JOINED,2024-12-16
AKTU003-EE-2021-1114,2002-04-28,HDFC Bank,Finance,4.5,OFFERED,2024-11-19
AKTU003-CSE-2021-1115,2002-06-06,Siemens,Core,4.0,OFFERED,2024-10-28
AKTU001-Management-2023-1118,2003-04-05,ICICI,Finance,4.0,JOINED,2024-09-27
AKTU003-EE-2021-1119,2003-08-27,ICICI,Finance,4.0,OFFERED,2024-11-27
AKTU002-Management-2023-1120,2004-02-08,Infosys,IT,4.0,JOINED,2024-09-16
AKTU002-CSE-2021-1145,2004-02-01,Wipro,IT,6.5,PENDING,2024-10-08
AKTU001-CSE-2021-1147,2004-07-27,ICICI,Finance,3.5,OFFERED,2024-11-04
AKTU002-Management-2023-1155,2002-12-30,NTPC,Core,4.0,JOINED,2024-10-17
AKTU001-EE-2021-1156,2002-01-16,TCS,IT,4.5,OFFERED,2024-11-19
AKTU002-Management-2023-1157,2004-02-20,TCS,IT,4.0,PENDING,2024-12-25
AKTU001-EE-2021-1158,2003-04-22,Infosys,IT,4.0,OFFERED,2024-11-13
AKTU001-CSE-2021-1170,2002-04-24,NTPC,Core,5.0,JOINED,2024-09-14
AKTU003-EE-2021-1177,2004-09-15,ICICI,Finance,4.0,OFFERED,2024-09-21
AKTU001-EE-2021-1178,2004-06-24,NTPC,Core,4.5,JOINED,2024-10-02
